,Age,Country,Actual_Time,Primary_Computing_Platform,Marital_Status,Primary_Place_of_WWW_Access,Who_Pays_for_Access_Parents,Willingness_to_Pay_Fees,Household_Income,Who_Pays_for_Access_School,Education_Attainment
0,31,114,14,3,1,5,0,4,7,0,Masters
1,18,114,13,10,5,2,0,0,8,0,Some_College
2,15,31,34,10,3,5,0,4,7,0,College
3,18,41,40,10,3,2,0,0,4,0,College
4,7,88,24,10,5,4,0,0,8,0,High_School
5,46,123,34,11,1,5,0,0,5,0,Professional
6,44,86,34,0,0,2,0,3,6,0,Some_College
7,15,16,34,0,5,4,0,0,2,0,High_School
8,22,89,34,10,1,2,0,0,1,0,Some_College
9,57,3,39,10,1,2,0,0,0,0,Grammar
10,39,52,21,10,1,4,0,0,4,0,Masters
11,17,41,27,0,5,2,0,0,2,0,Special
12,46,114,23,0,4,4,0,4,2,0,Masters
13,17,80,34,10,3,5,0,4,6,0,College
14,23,33,4,11,1,2,0,5,7,0,Special
15,15,92,4,0,5,2,0,7,1,0,High_School
16,34,43,23,0,6,4,0,0,3,0,Masters
17,55,114,36,3,1,2,0,0,3,0,Professional
18,8,122,24,11,5,2,1,5,6,0,High_School
19,20,92,26,10,3,2,0,0,0,0,High_School
20,55,88,39,11,5,2,0,4,4,0,High_School
21,24,9,12,10,1,8,0,4,3,0,Masters
22,29,61,21,3,5,5,0,0,4,0,Some_College
23,23,85,34,10,1,4,0,4,4,0,College
24,52,21,34,0,0,2,0,0,8,0,Some_College
25,16,99,34,10,1,2,0,4,3,0,Some_College
26,25,61,33,0,5,2,0,0,3,0,Professional
27,41,61,20,0,1,2,0,1,2,0,High_School
28,30,76,25,10,5,4,0,4,6,0,Some_College
29,19,33,3,3,1,5,0,4,6,0,College
30,17,118,28,10,5,5,0,4,1,0,College
31,13,60,34,10,5,5,0,4,3,0,College
32,9,31,13,10,3,4,0,0,2,1,Some_College
33,7,92,13,3,5,4,1,4,7,1,Some_College
34,35,92,34,1,1,4,0,0,4,0,Masters
35,24,102,34,10,1,2,0,4,1,0,College
36,21,40,34,10,1,4,0,0,1,0,Some_College
37,50,76,34,0,3,2,0,4,1,0,College
38,27,31,43,0,5,2,0,0,6,0,Special
39,46,123,15,3,3,4,0,0,4,0,Masters
40,7,80,24,10,5,2,1,0,4,0,High_School
41,45,126,34,10,1,4,0,0,2,0,Some_College
42,31,74,34,0,1,2,0,2,7,0,High_School
43,14,41,1,10,5,4,0,0,1,0,College
44,30,114,27,0,5,2,0,0,6,0,High_School
45,46,76,34,10,1,2,0,0,6,0,Masters
46,27,48,28,3,0,6,0,0,6,0,High_School
47,21,33,17,10,0,8,0,4,3,0,Masters
48,13,106,13,0,5,4,0,4,8,0,Some_College
49,18,55,42,0,5,2,0,0,0,0,High_School
50,34,121,21,10,1,5,0,4,7,0,Masters
51,14,31,13,10,5,4,0,0,5,0,Some_College
52,13,64,13,10,5,5,0,0,0,1,College
53,26,63,1,0,0,2,0,0,1,0,Some_College
54,10,69,13,10,5,5,0,4,8,1,Some_College
55,76,51,34,0,5,4,0,1,0,0,Some_College
56,10,122,13,10,5,7,0,1,6,1,High_School
57,38,61,34,10,6,2,0,4,3,0,Some_College
58,61,2,34,10,6,2,0,0,6,0,College
59,35,74,42,0,1,2,0,4,6,0,Some_College
