,Age,Community_Building,Country,Gender,Marital_Status,Opinions_on_Censorship,Web_Ordering,Years_on_Internet,Major_Occupation
0,31,1,114,1,1,0,2,0,Professional
1,18,1,114,0,5,0,2,4,Education
2,15,3,31,1,3,3,2,0,Computer
3,18,3,41,0,3,0,2,0,Professional
4,7,3,88,1,5,0,2,0,Education
5,46,1,123,1,1,0,2,1,Professional
6,44,1,86,1,0,0,2,4,Other
7,15,3,16,1,5,0,1,4,Professional
8,22,1,89,1,1,0,2,2,Other
9,57,3,3,1,1,0,1,0,Other
10,39,3,52,0,1,0,2,3,Computer
11,17,3,41,1,5,3,2,2,Management
12,46,0,114,1,4,3,2,2,Education
13,17,3,80,0,3,0,2,1,Computer
14,23,3,33,1,1,0,1,1,Other
15,15,3,92,1,5,0,2,0,Other
16,34,3,43,0,6,3,2,2,Education
17,55,0,114,1,1,3,2,0,Professional
18,8,1,122,0,5,1,2,0,Education
19,20,0,92,0,3,1,2,0,Other
20,55,3,88,1,5,0,2,0,Other
21,24,1,9,1,1,3,2,1,Education
22,29,3,61,1,5,0,2,1,Computer
23,23,3,85,1,1,0,2,1,Computer
24,52,0,21,1,0,1,2,4,Other
25,16,1,99,0,1,0,1,2,Other
26,25,3,61,0,5,0,2,2,Professional
27,41,3,61,0,1,0,2,2,Other
28,30,0,76,1,5,0,2,2,Other
29,19,0,33,0,1,2,1,2,Professional
30,17,1,118,0,5,0,2,0,Professional
31,13,3,60,0,5,0,2,2,Professional
32,9,0,31,0,3,3,1,2,Education
33,7,1,92,0,5,3,2,0,Education
34,35,0,92,0,1,0,1,0,Computer
35,24,1,102,1,1,0,1,0,Professional
36,21,0,40,0,1,3,2,1,Computer
37,50,1,76,1,3,0,2,2,Management
38,27,3,31,1,5,0,2,4,Professional
39,46,3,123,0,3,3,2,0,Professional
40,7,1,80,1,5,0,2,0,Education
41,45,3,126,1,1,0,1,0,Computer
42,31,3,74,1,1,0,1,2,Management
43,14,3,41,0,5,0,2,0,Professional
44,30,0,114,1,5,1,1,4,Management
