who,Years_on_Internet,Web_Ordering,Age,Not_Purchasing_Too_complicated,Not_Purchasing_Prefer_people,Not_Purchasing_Privacy,Not_Purchasing_Security,Not_Purchasing_Easier_locally
93819,1-3_yr,Yes,41,0,0,0,0,0
95708,Under_6_mo,Yes,28,0,0,0,1,0
97218,1-3_yr,Yes,25,0,0,1,0,1
91627,1-3_yr,Yes,28,0,0,0,0,0
49906,1-3_yr,Yes,17,0,0,0,0,0
89941,4-6_yr,Yes,55,0,1,0,0,1
96052,Under_6_mo,Yes,53,0,0,0,0,0
90393,Under_6_mo,No,25,0,0,1,1,0
90848,6-12_mo,Yes,32,0,1,1,1,1
91074,1-3_yr,No,65,0,0,0,1,0
97014,Over_7_yr,Yes,49,0,0,1,0,0
98875,6-12_mo,Yes,27,0,0,0,1,0
90366,6-12_mo,Yes,55,0,1,0,0,1
95752,4-6_yr,Yes,27,0,0,0,0,0
44635,4-6_yr,No,33,0,0,1,1,1
91474,1-3_yr,Yes,25,1,0,0,0,0
92891,6-12_mo,Yes,44,0,0,0,1,0
84541,1-3_yr,Yes,63,0,0,0,0,0
90923,1-3_yr,Yes,18,0,0,0,1,0
96059,1-3_yr,Yes,30,0,0,0,0,0
91078,1-3_yr,Yes,63,0,0,1,0,1
93933,4-6_yr,Yes,34,0,0,1,1,0
98516,4-6_yr,Yes,39,0,0,1,1,0
98755,4-6_yr,Yes,33,0,0,0,0,1
91207,Under_6_mo,Yes,60,0,1,1,0,1
97026,6-12_mo,No,26,0,0,0,0,0
91156,6-12_mo,Yes,35,0,0,0,0,0
93448,6-12_mo,Yes,50,0,0,0,0,0
98006,6-12_mo,Yes,40,0,0,0,0,0
95521,6-12_mo,No,29,0,1,0,1,1
603,1-3_yr,Yes,27,0,0,0,0,0
97575,6-12_mo,Yes,23,0,0,1,1,0
97400,6-12_mo,No,19,0,0,0,1,0
96769,1-3_yr,Yes,17,0,0,0,1,1
94724,1-3_yr,No,45,0,1,1,1,0
96543,1-3_yr,No,34,0,0,0,1,0
98661,4-6_yr,Yes,31,0,0,0,0,0
92966,6-12_mo,Yes,59,0,0,0,1,0
91195,Under_6_mo,Yes,37,0,0,1,1,0
91589,1-3_yr,Yes,55,0,0,0,1,0
99874,1-3_yr,Yes,17,0,0,0,0,1
91334,1-3_yr,No,54,0,0,1,1,0
98913,6-12_mo,No,41,0,0,1,1,0
94397,1-3_yr,Yes,24,0,0,0,0,0
90553,Under_6_mo,No,40,0,0,1,0,1
91900,1-3_yr,Yes,55,0,0,0,0,0
95573,6-12_mo,No,37,0,0,0,0,0
97712,1-3_yr,Yes,31,0,0,0,0,0
96950,1-3_yr,Yes,23,0,0,0,0,0
91361,Under_6_mo,No,28,0,0,1,1,0
95663,Over_7_yr,Yes,44,0,0,0,0,0
92303,Over_7_yr,Yes,24,0,0,0,0,1
